,meat,veggie,sauce,cheese,condiment,burger,salad,crust,pizza,premium,make_it_a_poutine,exception_for_these_menu_items,,,,,
Pepperoni,1,0,0,0,0,0,0,0,1,0,0,ie. Òpepperoni salad!Ó or whatever,,,,,
Salami,1,0,0,0,0,0,0,0,1,0,0,,,,,,
Bacon,1,0,0,0,0,0,0,0,1,0,0,,,,,,
Hamburger,1,0,0,0,0,0,0,0,1,0,0,,,,,,
Italian Sausage,1,0,0,0,0,0,0,0,1,0,0,,,,,,
Ham,1,0,0,0,0,0,0,0,1,0,0,,,,,,
spicy chicken,1,0,0,0,0,0,0,0,1,1,0,,,,,,
steak,1,0,0,0,0,0,0,0,1,1,0,,,,,,
Donair Meat,1,0,0,0,0,0,0,0,1,1,0,,,,,,
Real Bacon,1,0,0,0,0,0,0,0,1,1,0,,,,,,
Wieners,1,0,0,0,0,0,0,0,1,1,0,,,,,,
meatballs,1,0,0,0,0,0,0,0,1,1,0,,,,,,
brothers pepperoni,1,0,0,0,0,0,0,0,1,1,0,,,,,,
Onions,0,1,0,0,0,1,1,0,1,0,0,,,,,,
Red Onions,0,1,0,0,0,0,0,0,1,0,0,,,,,,
green Onions,0,1,0,0,0,0,0,0,1,0,0,,,,,,
Tomatoes,0,1,0,0,0,1,1,0,1,0,0,,,,,,
Green Peppers,0,1,0,0,0,0,0,0,1,0,0,,,,,,
Mushrooms,0,1,0,0,0,0,0,0,1,0,0,,,,,,
black olives,0,1,0,0,0,0,0,0,1,0,0,,,,,,
green olives,0,1,0,0,0,0,0,0,1,0,0,,,,,,
hot peppers,0,1,0,0,0,0,0,0,1,0,0,,,,,,
jalape–o peppers,0,1,0,0,0,0,0,0,1,0,0,,,,,,
roasted garlic,0,1,0,0,0,0,0,0,1,0,0,,,,,,
Broccoli,0,1,0,0,0,0,0,0,1,0,0,,,,,,
corn,0,1,0,0,0,0,0,0,1,0,0,,,,,,
lettuce,0,1,0,0,0,1,1,0,0,0,0,,,,,,
pickles,0,1,0,0,0,1,1,0,0,0,0,,,,,,
cucumber,0,1,0,0,0,1,1,0,0,0,0,,,,,,
sliced tomatoes,0,1,0,0,0,0,0,0,1,0,0,,,,,,
Pineapple,0,1,0,0,0,0,0,0,1,1,0,,,,,,
Mozzarella,0,0,0,1,0,0,0,0,1,0,0,,,,,,
Cheddar,0,0,0,1,0,0,0,0,1,0,0,,,,,,
feta,0,0,0,1,0,0,0,0,1,0,0,,,,,,
parmesan,0,0,0,1,0,0,0,0,1,0,0,,,,,,
Garlic Basted Crust,0,0,0,0,0,0,0,1,1,0,0,,,,,,
Zesty BBQ Sauce,0,0,1,0,0,0,0,0,1,0,0,,,,,,
Donair Sauce,0,0,1,0,0,0,0,0,1,0,0,,,,,,
Sweet Sauce,0,0,1,0,0,0,0,0,1,0,0,,,,,,
ketchup,0,0,0,0,1,1,0,0,0,0,0,,,,,,
mustard,0,0,0,0,1,1,0,0,0,0,0,,,,,,
mayo,0,0,0,0,1,1,0,0,0,0,0,,,,,,
relish,0,0,0,0,1,1,0,0,0,0,0,,,,,,
ranch,0,0,0,0,1,0,1,0,0,0,0,,,,,,
italian,0,0,0,0,1,0,1,0,0,0,0,,,,,,
caesar,0,0,0,0,1,0,1,0,0,0,0,,,,,,
french,0,0,0,0,1,0,1,0,0,0,0,,,,,,
salsa,0,0,0,0,1,0,1,0,0,0,0,,,,,,
thousand island,0,0,0,0,1,0,1,0,0,0,0,,,,,,
blue cheese,0,0,0,0,1,0,1,0,0,0,0,,,,,,
tzatziki,0,0,1,0,1,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,